TransactionID,Timestamp,SenderCountry,ReceiverCountry,Amount,Currency,TransactionType,RiskScore,JurisdictionRisk,ComplianceFlag,GeneratedByGenAI
TX-100030,2024-09-24 11:52:31.975044,Japan,China,33088.5,JPY,ACH,57.2,Medium,False,Yes
TX-100031,2024-04-30 10:00:39.975044,Italy,UK,53609.6,EUR,RTGS,94.9,High,True,Yes
TX-100032,2024-10-05 00:49:08.975044,Germany,China,13796.61,EUR,SWIFT,44.41,Medium,False,Yes
TX-100033,2025-01-14 18:57:56.975044,Australia,USA,53893.75,AUD,ACH,43.58,Medium,False,Yes
TX-100034,2024-10-17 16:02:38.975044,China,India,14674.34,CNY,Wire,50.0,Medium,False,Yes
TX-100035,2024-09-23 07:12:13.975044,France,France,55348.48,EUR,SWIFT,69.74,Medium,False,Yes
TX-100036,2024-10-15 22:13:09.975044,South Africa,South Africa,64907.32,ZAR,ACH,36.76,Low,False,Yes
TX-100037,2024-11-09 12:20:07.975044,Russia,Brazil,39080.58,RUB,ACH,86.39,High,True,Yes
TX-100038,2024-05-08 19:08:47.975044,USA,China,49904.63,USD,SEPA,2.93,Low,False,Yes
TX-100039,2024-10-20 02:37:21.975044,South Africa,USA,87577.77,ZAR,RTGS,43.98,Medium,False,Yes
TX-100040,2024-04-27 02:19:46.975044,South Africa,France,10945.46,ZAR,ACH,51.1,Medium,False,Yes
TX-100041,2024-04-01 08:46:10.975044,UK,Australia,79194.12,GBP,ACH,60.7,Medium,False,Yes
TX-100042,2024-05-21 05:22:06.975044,Brazil,Canada,17158.38,BRL,RTGS,27.61,Low,False,Yes
TX-100043,2025-02-06 16:28:30.975044,Italy,UK,3767.13,EUR,SEPA,42.75,Medium,False,Yes
TX-100044,2025-02-24 09:08:54.976045,Spain,Japan,18638.9,EUR,ACH,48.45,Medium,False,Yes
TX-100045,2024-07-31 05:08:52.976045,France,Canada,76527.81,EUR,RTGS,68.69,Medium,False,Yes
TX-100046,2024-08-03 02:44:06.976045,UK,Russia,40572.09,GBP,RTGS,77.35,High,True,Yes
TX-100047,2024-08-27 08:56:40.976045,Germany,South Africa,87264.8,EUR,SWIFT,73.78,High,True,Yes
TX-100048,2024-12-30 19:16:48.976045,South Africa,France,52518.28,ZAR,Wire,34.16,Low,False,Yes
TX-100049,2024-12-02 16:45:03.976045,Spain,France,2322.81,EUR,RTGS,99.95,High,True,Yes
TX-100050,2024-11-03 09:40:47.976045,Canada,UK,71699.69,CAD,SWIFT,84.87,High,True,Yes
TX-100051,2024-04-27 06:16:33.976045,Canada,China,11112.27,CAD,Wire,26.0,Low,False,Yes
TX-100052,2024-07-29 18:05:34.976045,Italy,France,78959.03,EUR,SWIFT,19.51,Low,False,Yes
TX-100053,2025-02-08 13:35:45.976045,Canada,France,16893.44,CAD,ACH,31.4,Low,False,Yes
TX-100054,2024-04-19 01:32:44.976045,Spain,Russia,34610.09,EUR,SWIFT,45.23,Medium,False,Yes
TX-100055,2024-05-18 13:51:57.976045,Russia,France,76151.02,RUB,ACH,85.08,High,True,Yes
TX-100056,2025-01-04 15:16:33.976045,Spain,USA,95427.71,EUR,RTGS,77.84,High,True,Yes
TX-100057,2025-03-11 18:48:27.976045,China,Brazil,37206.25,CNY,Wire,85.12,High,True,Yes
TX-100058,2024-04-21 11:22:14.976045,France,Canada,82957.08,EUR,SWIFT,27.2,Low,False,Yes
TX-100059,2024-10-29 18:00:52.976045,South Africa,China,19160.15,ZAR,RTGS,59.35,Medium,False,Yes
TX-100060,2024-07-26 06:28:54.976045,USA,UK,80737.26,USD,RTGS,28.32,Low,False,Yes
TX-100061,2024-03-21 17:40:52.976045,Brazil,Netherlands,65783.66,BRL,SEPA,10.9,Low,False,Yes
TX-100062,2025-03-10 15:49:08.976045,Australia,China,19355.08,AUD,ACH,68.42,Medium,False,Yes
TX-100063,2024-03-31 22:16:01.976045,Japan,Brazil,30320.15,JPY,RTGS,14.3,Low,False,Yes
TX-100064,2024-09-12 05:39:17.976045,Canada,UK,13263.91,CAD,RTGS,66.77,Medium,False,Yes
TX-100065,2024-11-03 06:50:10.976045,Netherlands,India,38358.4,EUR,RTGS,64.8,Medium,False,Yes
TX-100066,2024-06-20 20:48:03.976045,Italy,Australia,20444.5,EUR,ACH,81.02,High,True,Yes
TX-100067,2024-11-03 07:19:46.976045,Canada,Spain,64435.4,CAD,RTGS,13.96,Low,False,Yes
TX-100068,2024-08-07 01:09:29.976045,Japan,South Africa,99451.06,JPY,SEPA,78.35,High,True,Yes
TX-100069,2024-03-30 09:09:25.976045,France,UK,1299.72,EUR,SWIFT,99.93,High,True,Yes
TX-100070,2025-02-07 12:43:12.976045,Russia,France,54137.89,RUB,SWIFT,85.1,High,True,Yes
TX-100071,2024-11-14 21:57:21.976045,India,South Africa,57409.29,INR,Wire,75.18,High,True,Yes
TX-100072,2024-05-22 09:33:06.976045,China,Brazil,91429.46,CNY,SWIFT,66.22,Medium,False,Yes
TX-100073,2024-05-18 05:23:42.976045,Netherlands,Germany,50649.93,EUR,SWIFT,42.18,Medium,False,Yes
TX-100074,2024-07-29 10:58:25.976045,Russia,Australia,54415.77,RUB,Wire,73.05,High,True,Yes
TX-100075,2025-02-20 05:21:07.976045,Spain,UK,47218.11,EUR,RTGS,72.42,High,True,Yes
TX-100076,2025-02-10 20:46:29.976045,China,South Africa,26963.54,CNY,SWIFT,63.15,Medium,False,Yes
TX-100077,2025-02-27 21:51:58.976045,Germany,Japan,5697.31,EUR,SWIFT,79.63,High,True,Yes
TX-100078,2024-11-02 22:21:58.976045,Brazil,Russia,40924.9,BRL,SWIFT,44.88,Medium,False,Yes
TX-100079,2024-12-25 08:48:35.976045,Canada,USA,5353.89,CAD,SEPA,12.13,Low,False,Yes
TX-100080,2024-07-16 07:02:38.976045,USA,Spain,55094.2,USD,Wire,55.91,Medium,False,Yes
TX-100081,2024-12-01 07:53:15.976045,India,Canada,30798.63,INR,ACH,26.5,Low,False,Yes
TX-100082,2024-07-31 16:48:10.976045,Germany,UK,53406.88,EUR,Wire,38.44,Low,False,Yes
TX-100083,2024-10-27 19:31:27.976045,South Africa,China,13516.27,ZAR,Wire,1.74,Low,False,Yes
TX-100084,2024-09-05 10:09:01.976045,France,Netherlands,93269.73,EUR,SWIFT,38.28,Low,False,Yes
TX-100085,2025-01-26 08:43:49.976045,Canada,Russia,89462.67,CAD,RTGS,80.88,High,True,Yes
TX-100086,2024-06-21 10:53:02.976045,Russia,UK,19080.65,RUB,SEPA,54.27,Medium,False,Yes
TX-100087,2024-09-13 06:52:06.976045,Germany,Russia,34410.08,EUR,SEPA,0.98,Low,False,Yes
TX-100088,2025-01-29 04:41:58.976045,Russia,Australia,61387.93,RUB,SEPA,46.98,Medium,False,Yes
TX-100089,2024-05-08 14:52:33.976045,Canada,South Africa,9659.05,CAD,ACH,29.15,Low,False,Yes
TX-100090,2025-01-05 22:20:06.976045,Italy,Italy,35521.33,EUR,ACH,47.76,Medium,False,Yes
TX-100091,2024-06-26 15:32:38.976045,France,South Africa,25186.12,EUR,RTGS,40.47,Medium,False,Yes
TX-100092,2024-06-05 23:11:18.976045,Australia,Italy,91560.12,AUD,Wire,93.2,High,True,Yes
TX-100093,2024-03-18 15:59:56.976045,India,Germany,85265.81,INR,SWIFT,4.12,Low,False,Yes
TX-100094,2024-10-26 17:48:54.976045,Russia,India,58025.29,RUB,RTGS,68.36,Medium,False,Yes
TX-100095,2024-07-21 05:53:21.976045,Spain,Australia,52082.6,EUR,SEPA,85.1,High,True,Yes
TX-100096,2024-10-20 23:04:11.976045,UK,Brazil,93079.51,GBP,SEPA,95.92,High,True,Yes
TX-100097,2024-11-19 11:20:09.976045,Spain,India,93249.54,EUR,SEPA,17.76,Low,False,Yes
TX-100098,2024-10-05 19:17:10.976045,Spain,UK,96936.08,EUR,SEPA,53.13,Medium,False,Yes
TX-100099,2024-11-27 02:04:59.976045,Germany,Germany,12625.35,EUR,ACH,4.36,Low,False,Yes
TX-100100,2024-12-22 06:13:45.976045,India,China,16139.73,INR,ACH,49.92,Medium,False,Yes
TX-100101,2024-06-23 10:01:15.976045,France,Brazil,67706.0,EUR,RTGS,12.55,Low,False,Yes
TX-100102,2024-11-11 22:03:33.976045,Brazil,Russia,54189.3,BRL,ACH,83.79,High,True,Yes
TX-100103,2024-06-22 03:27:29.976045,Netherlands,Spain,1944.74,EUR,RTGS,11.39,Low,False,Yes
TX-100104,2024-09-20 06:06:45.976045,India,USA,6291.31,INR,Wire,51.33,Medium,False,Yes
TX-100105,2025-03-01 05:35:53.976045,India,India,88819.23,INR,RTGS,52.11,Medium,False,Yes
TX-100106,2024-11-24 07:23:12.976045,Canada,France,86900.19,CAD,SWIFT,97.17,High,True,Yes
TX-100107,2025-02-26 01:24:56.976045,China,South Africa,35791.37,CNY,SWIFT,65.5,Medium,False,Yes
TX-100108,2024-08-10 18:55:53.976045,India,Russia,89115.96,INR,ACH,28.78,Low,False,Yes
TX-100109,2025-03-04 10:26:52.976045,UK,Canada,59408.14,GBP,SWIFT,24.08,Low,False,Yes
TX-100110,2025-01-18 18:10:22.976045,Japan,USA,80609.97,JPY,SEPA,12.82,Low,False,Yes
TX-100111,2024-07-22 18:50:53.976045,Brazil,UK,42800.36,BRL,RTGS,75.65,High,True,Yes
TX-100112,2024-07-23 16:15:44.977046,Germany,Australia,11428.49,EUR,SEPA,69.08,Medium,False,Yes
TX-100113,2024-08-14 21:51:00.977046,UK,Italy,43429.33,GBP,SEPA,60.99,Medium,False,Yes
TX-100114,2025-01-09 00:10:48.977046,Australia,Australia,45784.25,AUD,ACH,4.08,Low,False,Yes
TX-100115,2024-12-05 04:46:25.977046,Italy,France,55139.32,EUR,Wire,76.28,High,True,Yes
TX-100116,2024-08-07 20:18:33.977046,France,Australia,10647.71,EUR,RTGS,64.19,Medium,False,Yes
TX-100117,2024-05-15 16:19:51.977046,Netherlands,Brazil,99141.05,EUR,SEPA,96.39,High,True,Yes
TX-100118,2025-01-14 21:34:34.977046,India,South Africa,24489.27,INR,ACH,58.72,Medium,False,Yes
TX-100119,2024-04-23 00:03:17.977046,Brazil,Netherlands,19935.39,BRL,SWIFT,30.4,Low,False,Yes
TX-100120,2024-03-25 17:49:02.977046,Japan,Japan,52727.61,JPY,Wire,38.15,Low,False,Yes
TX-100121,2024-06-24 03:36:24.977046,Germany,Germany,53767.1,EUR,ACH,17.58,Low,False,Yes
TX-100122,2025-01-15 06:02:29.977046,India,Italy,44038.09,INR,SEPA,72.29,High,True,Yes
TX-100123,2024-07-25 17:00:41.977046,Spain,India,77212.03,EUR,ACH,70.77,High,True,Yes
TX-100124,2024-08-16 08:09:42.977046,Russia,Brazil,51713.77,RUB,SEPA,20.07,Low,False,Yes
TX-100125,2024-07-10 19:20:16.977046,South Africa,Italy,61008.58,ZAR,SWIFT,15.85,Low,False,Yes
TX-100126,2024-07-08 00:50:53.977046,South Africa,Australia,72402.26,ZAR,RTGS,7.7,Low,False,Yes
TX-100127,2024-06-29 08:46:49.977046,USA,France,2600.01,USD,RTGS,91.2,High,True,Yes
TX-100128,2024-11-26 05:11:36.977046,Germany,UK,57107.35,EUR,SWIFT,23.31,Low,False,Yes
TX-100129,2024-07-06 16:28:19.977046,Russia,Japan,88431.03,RUB,SEPA,34.42,Low,False,Yes
TX-100130,2024-06-23 16:22:22.977046,USA,Russia,1837.14,USD,ACH,28.05,Low,False,Yes
TX-100131,2025-03-01 10:47:19.977046,South Africa,Italy,40577.69,ZAR,SWIFT,41.36,Medium,False,Yes
TX-100132,2025-02-18 13:17:27.977046,Spain,USA,92630.12,EUR,Wire,71.4,High,True,Yes
TX-100133,2025-01-21 08:44:37.977046,Italy,France,35380.12,EUR,SWIFT,87.06,High,True,Yes
TX-100134,2024-09-02 02:26:49.977046,France,Netherlands,45927.01,EUR,SEPA,18.26,Low,False,Yes
TX-100135,2024-12-30 16:52:09.977046,Canada,South Africa,98155.99,CAD,ACH,68.64,Medium,False,Yes
TX-100136,2024-07-30 11:16:53.977046,Germany,Australia,20012.45,EUR,RTGS,35.26,Low,False,Yes
TX-100137,2024-04-19 11:13:53.977046,Netherlands,Italy,6618.99,EUR,SWIFT,98.05,High,True,Yes
TX-100138,2024-04-07 17:40:35.977046,China,India,85956.32,CNY,Wire,29.89,Low,False,Yes
TX-100139,2024-08-22 13:57:31.977046,Netherlands,Spain,86859.69,EUR,RTGS,0.72,Low,False,Yes
TX-100140,2024-11-01 16:42:58.977046,Brazil,Japan,47260.58,BRL,ACH,51.56,Medium,False,Yes
TX-100141,2024-05-07 12:55:55.977046,Spain,India,51469.3,EUR,ACH,15.07,Low,False,Yes
TX-100142,2024-12-05 21:14:40.977046,Germany,USA,83597.06,EUR,Wire,4.45,Low,False,Yes
TX-100143,2024-04-13 05:28:39.977046,India,Canada,73882.09,INR,ACH,69.83,Medium,False,Yes
TX-100144,2024-12-19 06:46:27.977046,Australia,Netherlands,26588.39,AUD,ACH,73.23,High,True,Yes
TX-100145,2024-06-22 02:48:52.977046,Italy,Japan,1787.65,EUR,RTGS,46.07,Medium,False,Yes
TX-100146,2025-01-28 12:28:05.977046,Netherlands,India,48022.05,EUR,Wire,67.69,Medium,False,Yes
TX-100147,2024-08-11 07:32:57.977046,Netherlands,Spain,85905.34,EUR,RTGS,53.82,Medium,False,Yes
TX-100148,2024-04-21 12:14:46.977046,India,Russia,89593.88,INR,ACH,62.98,Medium,False,Yes
TX-100149,2024-09-04 20:55:31.977046,Australia,Italy,95627.0,AUD,Wire,59.67,Medium,False,Yes
TX-100150,2024-05-02 01:49:14.977046,UK,China,87968.37,GBP,ACH,66.58,Medium,False,Yes
TX-100151,2024-03-23 04:52:24.977046,France,Netherlands,58046.35,EUR,SEPA,19.96,Low,False,Yes
TX-100152,2024-11-05 01:09:30.977046,UK,India,44516.1,GBP,SEPA,26.87,Low,False,Yes
TX-100153,2024-12-21 16:42:42.977046,Germany,Russia,77507.5,EUR,Wire,44.0,Medium,False,Yes
TX-100154,2025-01-13 04:19:38.977046,Brazil,France,74008.18,BRL,ACH,44.61,Medium,False,Yes
TX-100155,2024-06-20 10:09:37.977046,Japan,Spain,53860.53,JPY,ACH,77.44,High,True,Yes
TX-100156,2024-07-11 10:01:08.977046,Japan,France,8824.0,JPY,Wire,36.74,Low,False,Yes
TX-100157,2024-11-24 17:27:24.977046,France,France,92615.53,EUR,RTGS,16.25,Low,False,Yes
TX-100158,2024-08-25 15:27:36.977046,Brazil,South Africa,45614.69,BRL,Wire,25.15,Low,False,Yes
TX-100159,2024-07-22 23:09:43.977046,China,Canada,36397.04,CNY,SEPA,21.47,Low,False,Yes
TX-100160,2024-12-23 00:51:27.977046,Italy,France,62993.78,EUR,RTGS,73.17,High,True,Yes
TX-100161,2024-10-25 22:10:35.977046,Netherlands,India,67416.41,EUR,SEPA,47.03,Medium,False,Yes
TX-100162,2024-05-14 06:10:27.977046,China,China,21147.72,CNY,SEPA,70.86,High,True,Yes
TX-100163,2024-12-22 12:02:13.977046,Italy,Italy,83710.19,EUR,SWIFT,41.62,Medium,False,Yes
TX-100164,2025-02-21 20:46:52.977046,Spain,Australia,29064.72,EUR,SEPA,88.97,High,True,Yes
TX-100165,2024-07-22 14:33:36.977046,Germany,South Africa,18749.72,EUR,RTGS,98.35,High,True,Yes
TX-100166,2024-12-14 23:28:13.977046,UK,India,40699.35,GBP,Wire,66.98,Medium,False,Yes
TX-100167,2025-01-10 13:26:51.977046,Japan,Brazil,73082.95,JPY,Wire,86.38,High,True,Yes
TX-100168,2024-09-09 06:58:10.977046,Australia,Germany,96549.27,AUD,ACH,50.79,Medium,False,Yes
TX-100169,2024-09-02 21:05:32.977046,Canada,Brazil,80947.2,CAD,Wire,93.46,High,True,Yes
TX-100170,2024-04-12 05:55:35.977046,South Africa,India,94040.8,ZAR,RTGS,83.16,High,True,Yes
TX-100171,2024-03-30 11:17:38.977046,USA,China,14146.52,USD,SWIFT,99.18,High,True,Yes
TX-100172,2024-04-05 16:25:10.977046,Russia,South Africa,7210.56,RUB,SWIFT,62.31,Medium,False,Yes
TX-100173,2024-12-05 17:36:37.977046,Canada,Germany,55814.71,CAD,SWIFT,77.92,High,True,Yes
TX-100174,2024-08-06 07:15:08.977046,UK,Japan,29100.72,GBP,Wire,54.29,Medium,False,Yes
TX-100175,2024-08-06 19:29:05.977046,India,Spain,82822.69,INR,SEPA,25.91,Low,False,Yes
TX-100176,2025-03-06 13:36:39.977046,UK,India,67231.59,GBP,Wire,35.48,Low,False,Yes
TX-100177,2024-12-29 18:48:28.977046,South Africa,Brazil,97075.74,ZAR,Wire,89.4,High,True,Yes
TX-100178,2025-02-22 06:27:43.977046,India,UK,25553.76,INR,SEPA,5.59,Low,False,Yes
TX-100179,2024-05-19 05:44:02.977046,Italy,Spain,48629.83,EUR,Wire,59.15,Medium,False,Yes
TX-100180,2024-08-14 07:12:31.977046,China,Japan,50173.92,CNY,ACH,37.25,Low,False,Yes
TX-100181,2024-05-14 07:30:03.977046,Canada,USA,23993.76,CAD,Wire,38.67,Low,False,Yes
TX-100182,2025-01-16 11:17:35.977046,Italy,India,59050.33,EUR,RTGS,88.46,High,True,Yes
TX-100183,2025-02-06 06:29:08.977046,Italy,USA,44384.27,EUR,ACH,85.38,High,True,Yes
TX-100184,2024-05-09 20:01:20.977046,China,Russia,44727.48,CNY,SWIFT,59.88,Medium,False,Yes
TX-100185,2024-06-26 14:01:17.977046,Australia,Canada,36337.39,AUD,RTGS,27.29,Low,False,Yes
TX-100186,2024-05-08 16:36:33.977046,Japan,USA,1791.24,JPY,Wire,47.55,Medium,False,Yes
TX-100187,2024-07-03 06:46:03.977046,France,Italy,52257.31,EUR,ACH,40.83,Medium,False,Yes
TX-100188,2025-03-17 07:57:57.977046,Japan,Canada,33591.26,JPY,ACH,35.36,Low,False,Yes
TX-100189,2025-03-02 11:07:00.977046,Russia,Japan,231.85,RUB,SWIFT,10.28,Low,False,Yes
TX-100190,2025-03-07 02:47:56.977046,USA,Canada,30863.58,USD,RTGS,54.31,Medium,False,Yes
TX-100191,2025-01-18 20:29:21.977046,India,India,27934.97,INR,ACH,30.18,Low,False,Yes
TX-100192,2024-07-01 14:59:15.977046,Brazil,Australia,39405.47,BRL,RTGS,66.08,Medium,False,Yes
TX-100193,2024-08-11 12:16:29.977046,Canada,Spain,13272.01,CAD,Wire,31.92,Low,False,Yes
TX-100194,2025-01-30 13:52:56.977046,India,Germany,50817.61,INR,SEPA,43.12,Medium,False,Yes
TX-100195,2024-06-16 22:58:07.977046,Netherlands,Brazil,69274.79,EUR,SEPA,5.24,Low,False,Yes
TX-100196,2024-11-01 00:42:39.977046,Japan,France,63055.54,JPY,Wire,99.25,High,True,Yes
TX-100197,2024-07-11 17:24:51.977046,South Africa,France,80395.12,ZAR,Wire,50.76,Medium,False,Yes
TX-100198,2024-12-20 16:04:52.977046,France,Germany,45255.63,EUR,SWIFT,2.42,Low,False,Yes
TX-100199,2024-07-24 10:15:59.977046,South Africa,USA,51957.26,ZAR,RTGS,54.12,Medium,False,Yes
TX-100200,2024-07-16 20:27:18.977046,India,USA,81059.15,INR,SWIFT,87.04,High,True,Yes
TX-100201,2024-11-11 04:35:17.977046,Spain,China,42827.35,EUR,ACH,77.26,High,True,Yes
TX-100202,2024-07-20 17:12:59.977046,Canada,Canada,70189.78,CAD,Wire,70.09,High,True,Yes
TX-100203,2024-05-03 21:19:58.977046,France,USA,43516.78,EUR,SWIFT,13.95,Low,False,Yes
TX-100204,2024-11-08 16:41:25.977046,Italy,China,41831.85,EUR,SEPA,65.77,Medium,False,Yes
TX-100205,2024-09-22 06:32:44.977046,UK,India,76044.54,GBP,Wire,76.63,High,True,Yes
TX-100206,2024-09-24 18:26:44.977046,Australia,Netherlands,17566.21,AUD,ACH,57.24,Medium,False,Yes
TX-100207,2024-05-25 08:19:40.977046,USA,Russia,33924.74,USD,RTGS,89.27,High,True,Yes
TX-100208,2024-06-01 10:25:57.977046,Brazil,Germany,22494.81,BRL,SWIFT,27.7,Low,False,Yes
TX-100209,2024-06-11 15:16:46.977046,Netherlands,China,35975.08,EUR,RTGS,24.21,Low,False,Yes
TX-100210,2024-12-27 08:48:51.977046,Brazil,India,23114.44,BRL,SEPA,86.96,High,True,Yes
TX-100211,2024-10-23 06:51:22.977046,France,Canada,57982.62,EUR,SWIFT,62.54,Medium,False,Yes
TX-100212,2024-05-03 13:39:34.977046,Japan,Brazil,79837.26,JPY,Wire,0.14,Low,False,Yes
TX-100213,2024-06-19 13:38:43.977046,South Africa,Canada,78682.64,ZAR,ACH,35.31,Low,False,Yes
TX-100214,2024-10-07 03:57:41.977046,UK,Canada,36513.65,GBP,ACH,85.79,High,True,Yes
TX-100215,2024-10-21 01:33:09.977046,Japan,Russia,98877.16,JPY,RTGS,2.73,Low,False,Yes
TX-100216,2025-02-21 09:11:34.977046,Netherlands,China,59426.05,EUR,ACH,0.32,Low,False,Yes
TX-100217,2024-11-26 08:10:43.977046,Canada,UK,40000.09,CAD,Wire,28.13,Low,False,Yes
TX-100218,2025-03-08 23:09:48.977046,Russia,Italy,83570.37,RUB,ACH,91.4,High,True,Yes
TX-100219,2024-11-21 22:09:51.977046,India,India,73014.41,INR,SEPA,90.15,High,True,Yes
TX-100220,2024-11-18 10:45:27.977046,France,South Africa,74952.61,EUR,RTGS,51.88,Medium,False,Yes
TX-100221,2024-09-13 02:55:00.977046,Russia,Netherlands,19694.32,RUB,Wire,55.32,Medium,False,Yes
TX-100222,2024-11-21 18:29:25.978041,India,India,46885.6,INR,RTGS,33.2,Low,False,Yes
TX-100223,2024-11-29 03:25:17.978041,Japan,China,86196.63,JPY,SEPA,24.37,Low,False,Yes
TX-100224,2025-02-04 20:18:26.978041,China,South Africa,50453.4,CNY,Wire,81.52,High,True,Yes
TX-100225,2024-03-20 23:26:45.978041,Germany,UK,68376.93,EUR,Wire,10.63,Low,False,Yes
TX-100226,2024-12-22 07:47:01.978041,UK,Netherlands,58834.58,GBP,Wire,48.74,Medium,False,Yes
TX-100227,2024-11-19 00:21:59.978041,Spain,Canada,84251.44,EUR,SWIFT,63.44,Medium,False,Yes
TX-100228,2024-08-24 08:40:32.978041,South Africa,Brazil,28527.63,ZAR,Wire,10.37,Low,False,Yes
TX-100229,2025-02-19 20:46:53.978041,UK,UK,57589.98,GBP,SWIFT,51.96,Medium,False,Yes
TX-100230,2024-09-10 19:04:40.978041,Japan,France,12411.14,JPY,ACH,57.75,Medium,False,Yes
TX-100231,2024-04-18 16:52:22.978041,South Africa,France,69052.06,ZAR,RTGS,74.25,High,True,Yes
TX-100232,2024-09-12 02:24:06.978041,Netherlands,Australia,73223.59,EUR,Wire,23.48,Low,False,Yes
TX-100233,2024-09-01 11:03:11.978041,Japan,India,4379.45,JPY,SWIFT,29.33,Low,False,Yes
TX-100234,2024-04-28 21:31:46.978041,Netherlands,Netherlands,67611.52,EUR,Wire,56.95,Medium,False,Yes
TX-100235,2024-03-29 02:27:16.978041,USA,Canada,41527.55,USD,SWIFT,98.31,High,True,Yes
TX-100236,2025-01-12 19:08:23.978041,China,India,12497.28,CNY,ACH,21.75,Low,False,Yes
TX-100237,2024-11-24 23:21:32.978041,Spain,Australia,42048.76,EUR,SEPA,98.59,High,True,Yes
TX-100238,2025-02-16 22:48:13.978041,Australia,Netherlands,19503.87,AUD,Wire,71.43,High,True,Yes
TX-100239,2024-06-17 20:00:47.978041,USA,France,41614.4,USD,SWIFT,82.61,High,True,Yes
TX-100240,2024-06-15 13:05:39.978041,Canada,South Africa,38495.47,CAD,ACH,8.96,Low,False,Yes
TX-100241,2024-07-09 21:25:00.978041,Netherlands,Italy,73865.32,EUR,SWIFT,30.04,Low,False,Yes
TX-100242,2024-09-29 14:44:47.978041,Spain,Brazil,77444.13,EUR,SWIFT,5.77,Low,False,Yes
TX-100243,2024-07-08 23:00:34.978041,Netherlands,Netherlands,60742.16,EUR,ACH,37.15,Low,False,Yes
TX-100244,2024-05-30 15:52:34.978041,Russia,India,2366.42,RUB,Wire,98.13,High,True,Yes
TX-100245,2024-10-20 08:37:14.978041,South Africa,South Africa,93109.13,ZAR,SEPA,10.53,Low,False,Yes
